Year,Element,Area,Vegetables,Fruits,Grains/Legumes/Nuts/Seeds,Meat/Poultry,Fish/Seafood,Dairy Food Group,Eggs,Vegetal Products,Sugar,Country,Obesity,Undernourished,Population,latlng,region,subregion,ISO_A2,Life expectancy,GDP
Y2014,Fat supply quantity (g/capita/day),Afghanistan,0.22,3.04,5.84,4.569999999999999,0.01,12.3,0.82,16.95000000000001,0.0,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2014,Food supply (kcal/capita/day),Afghanistan,31.0,87.0,1496.0,59.0,0.0,228.0,12.0,1796.0,84.0,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2014,Food supply quantity (kg/capita/yr),Afghanistan,42.66,40.21999999999999,178.87,10.61,0.19,128.74,2.96,282.36999999999995,9.74,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2014,Protein supply quantity (g/capita/day),Afghanistan,1.36,3.17,39.34,4.23,0.06,13.4,0.86,44.01000000000001,0.0,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2015,Fat supply quantity (g/capita/day),Afghanistan,0.21,2.94,5.49,4.25,0.01,10.94,0.74,16.170000000000005,0.0,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2015,Food supply (kcal/capita/day),Afghanistan,28.0,93.0,1474.0,55.0,0.0,206.0,10.0,1772.0,84.0,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2015,Food supply quantity (kg/capita/yr),Afghanistan,42.290000000000006,44.49,175.40999999999997,9.99,0.21,114.94,2.66,280.9699999999999,9.400000000000002,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2015,Protein supply quantity (g/capita/day),Afghanistan,1.27,3.13,38.95,3.93,0.06,12.28,0.78,43.40999999999999,0.0,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2016,Fat supply quantity (g/capita/day),Afghanistan,0.32,2.77,5.62,3.9,0.02,10.64,0.74,17.420000000000005,0.0,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2016,Food supply (kcal/capita/day),Afghanistan,43.0,81.0,1482.0,50.0,0.0,196.0,10.0,1811.0,94.0,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2016,Food supply quantity (kg/capita/yr),Afghanistan,72.26,37.09,176.33999999999997,9.05,0.23,112.42,2.66,306.01999999999987,10.59,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2016,Protein supply quantity (g/capita/day),Afghanistan,1.91,2.8500000000000005,39.12,3.5600000000000005,0.07,11.6,0.78,44.13000000000001,0.0,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2017,Fat supply quantity (g/capita/day),Afghanistan,0.22,2.82,5.38,3.75,0.02,10.14,0.84,17.38000000000001,0.0,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2017,Food supply (kcal/capita/day),Afghanistan,30.0,90.0,1489.0,47.0,0.0,196.0,12.0,1808.0,89.0,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2017,Food supply quantity (kg/capita/yr),Afghanistan,48.34,44.18999999999999,177.86,8.59,0.25,108.38,3.0,290.41,9.64,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2017,Protein supply quantity (g/capita/day),Afghanistan,1.23,2.9200000000000004,39.07,3.39,0.07,11.96,0.88,43.58,0.0,Afghanistan,4.5,29.8,38928000.0,"[33, 65]",Asia,Southern Asia,AF,58.19375,340.01542546875
Y2014,Fat supply quantity (g/capita/day),Albania,1.32,18.54,7.1999999999999975,22.63000000000001,0.33,70.28,7.38,39.11,0.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2014,Food supply (kcal/capita/day),Albania,157.0,461.0,1156.0,286.0,9.0,1178.0,104.0,2258.0,212.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2014,Food supply quantity (kg/capita/yr),Albania,255.39,195.28,154.19000000000003,51.32,5.320000000000001,679.02,27.94,734.0699999999997,33.39,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2014,Protein supply quantity (g/capita/day),Albania,6.4700000000000015,14.650000000000002,35.99000000000001,19.32,1.49,66.7,8.28,52.96000000000002,0.01,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2015,Fat supply quantity (g/capita/day),Albania,1.36,15.79,7.099999999999999,18.41,0.33,72.2,7.88,40.11999999999999,0.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2015,Food supply (kcal/capita/day),Albania,163.0,439.0,1140.0,232.0,9.0,1208.0,112.0,2267.0,214.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2015,Food supply quantity (kg/capita/yr),Albania,261.72,196.92,151.71,41.72,5.3500000000000005,704.34,29.9,748.6299999999997,36.11,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2015,Protein supply quantity (g/capita/day),Albania,6.76,13.04,35.57999999999999,15.69,1.49,69.28,8.8,53.05999999999999,0.01,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2016,Fat supply quantity (g/capita/day),Albania,1.4700000000000002,15.61,7.479999999999999,18.18,0.33,80.9,8.04,40.07999999999999,0.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2016,Food supply (kcal/capita/day),Albania,179.0,443.0,1178.0,231.0,9.0,1312.0,114.0,2317.0,212.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2016,Food supply quantity (kg/capita/yr),Albania,284.69,203.94,155.68000000000004,41.42999999999999,5.36,772.74,30.52,782.5899999999997,36.25,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2016,Protein supply quantity (g/capita/day),Albania,7.42,13.13,36.76,15.76,1.49,76.48,9.0,54.99000000000001,0.01,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2017,Fat supply quantity (g/capita/day),Albania,1.53,17.71,8.45,20.58,0.33,83.56,7.74,42.31999999999999,0.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2017,Food supply (kcal/capita/day),Albania,188.0,463.0,1130.0,263.0,9.0,1352.0,110.0,2310.0,234.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2017,Food supply quantity (kg/capita/yr),Albania,296.86,203.93000000000004,149.58,47.51000000000001,5.36,792.68,29.32,790.1600000000003,38.74,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2017,Protein supply quantity (g/capita/day),Albania,7.76,15.17,34.66999999999999,18.31,1.49,78.78,8.64,53.30999999999999,0.01,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2014,Fat supply quantity (g/capita/day),Algeria,0.79,5.98,8.46,6.8400000000000025,0.35,29.18,3.66,52.88999999999999,0.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2014,Food supply (kcal/capita/day),Algeria,133.0,285.0,1708.0,93.0,10.0,602.0,54.0,2924.0,264.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2014,Food supply quantity (kg/capita/yr),Algeria,179.78,123.71,223.05,20.12,4.3900000000000015,302.12,15.86,646.4000000000002,28.8,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2014,Protein supply quantity (g/capita/day),Algeria,5.64,7.24,50.29,7.37,1.3100000000000005,33.56,4.52,67.33000000000001,0.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2015,Fat supply quantity (g/capita/day),Algeria,0.8200000000000001,5.74,8.499999999999998,6.58,0.36000000000000004,26.84,3.98,54.77,0.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
